day_of_year,tmin_95p,tmax_95p
319,11.65,14.54
320,11.32,14.07
321,10.59,13.4
322,10.7,13.96
323,10.98,14.83
324,9.19,13.13
325,9.44,13.04
326,9.22,13.4
327,9.74,14.02
328,10.14,13.08
329,9.88,12.91
330,9.34,12.87
331,9.03,12.51
332,8.57,12.27
333,8.87,13.41
334,8.59,13.04
335,8.32,13.06
336,10.15,12.69
337,9.55,12.55
338,7.18,12.51
339,9.52,12.94
340,10.02,12.96
341,8.32,12.96
342,7.75,12.28
343,8.32,12.43
344,9.57,13.15
345,9.27,12.51
346,10.27,13.17
347,9.6,12.55
348,9.18,12.18
349,8.16,12.07
350,8.35,11.97
351,7.63,11.36
352,9.74,11.91
353,9.98,13.78
354,7.4,11.52
355,9.46,12.91
356,9.99,13.72
357,9.14,12.94
358,9.71,12.66
359,8.32,12.11
360,8.65,11.94
361,9.16,12.05
362,8.36,11.0
363,5.86,11.94
364,8.45,12.36
365,7.96,11.83
